-0.01,1.0,-0.07,-0.12,0.92,0.15,-14.32,-39.22,-16.1
-0.01,1.0,-0.07,-0.12,0.95,0.43,-10.45,-39.5,-13.76
-0.01,1.0,-0.07,-0.03,0.89,0.73,-9.29,-39.59,-13.08
-0.01,1.0,-0.07,-0.09,0.85,0.52,-9.48,-39.73,-13.36
-0.01,1.0,-0.07,0.06,0.89,0.46,-10.1,-39.57,-13.28
-0.01,1.0,-0.07,-0.09,0.95,0.37,-9.38,-39.64,-13.3
-0.02,1.0,-0.07,0.0,0.82,0.49,-9.86,-39.6,-13.07
-0.01,1.0,-0.07,-0.12,0.89,0.82,-9.67,-39.67,-13.2
-0.01,1.0,-0.07,-0.09,0.92,0.7,-11.94,-39.49,-15.27
-0.01,1.0,-0.07,-0.09,0.89,0.52,-13.36,-39.32,-15.7
-0.01,1.0,-0.07,-0.06,0.82,0.37,-9.43,-39.47,-13.09
-0.01,0.99,-0.07,-0.06,0.92,0.67,-9.84,-39.43,-13.46
-0.02,1.0,-0.07,-0.09,0.85,0.7,-13.79,-39.29,-15.92
-0.01,1.0,-0.07,-0.12,0.98,0.82,-13.55,-39.22,-16.43
-0.01,1.0,-0.07,-0.03,0.98,0.73,-13.47,-39.32,-16.18
-0.01,1.0,-0.07,-0.15,0.85,0.58,-14.6,-39.18,-16.78
-0.01,1.0,-0.07,-0.03,0.95,0.67,-14.57,-39.37,-16.18
-0.01,1.0,-0.07,-0.06,0.85,0.64,-14.7,-39.41,-15.88
-0.01,1.0,-0.07,0.06,0.85,0.31,-14.67,-39.2,-16.58
-0.01,1.0,-0.07,-0.06,0.85,0.0,-14.66,-39.29,-16.29
-0.01,1.0,-0.07,-0.06,0.82,-0.12,-14.64,-39.33,-16.44
-0.01,1.0,-0.07,-0.09,0.92,0.34,-14.95,-39.28,-16.48
-0.01,1.0,-0.07,-0.06,0.95,0.34,-14.74,-39.26,-16.18
-0.01,1.0,-0.07,-0.03,0.82,0.18,-14.58,-39.33,-16.26
-0.01,1.0,-0.07,-0.21,0.85,0.18,-14.6,-39.32,-16.35
-0.01,1.0,-0.07,-0.12,0.89,0.24,-14.61,-39.06,-16.48
-0.01,1.0,-0.07,-0.09,0.82,0.21,-14.6,-39.31,-16.67
-0.01,1.0,-0.07,-0.09,0.92,0.21,-14.66,-39.34,-16.64
-0.01,1.0,-0.07,-0.12,0.82,0.06,-14.54,-39.45,-16.01
-0.01,1.0,-0.07,-0.15,0.92,0.21,-14.51,-39.38,-15.97
-0.01,1.0,-0.07,0.0,0.82,0.4,-14.69,-39.37,-16.14
-0.01,1.0,-0.07,-0.06,0.95,0.46,-14.63,-39.45,-16.2
-0.01,1.0,-0.07,-0.06,0.82,0.55,-14.72,-39.31,-16.5
-0.01,1.0,-0.07,0.0,0.82,0.34,-14.43,-39.46,-16.02
